001	raw=9	en=20	OK
002	raw=10	en=17	OK
003	raw=8	en=13	OK
004	raw=19	en=24	OK
005	raw=14	en=16	OK
006	raw=11	en=15	OK
007	raw=24	en=25	OK
008	raw=17	en=23	OK
009	raw=19	en=22	OK
010	raw=9	en=14	OK
011	raw=17	en=19	OK
012	raw=6	en=9	OK
013	raw=1	en=9	OK
014	raw=10	en=14	OK
015	raw=11	en=12	OK
016	raw=12	en=10	SHORTFALL
017	raw=7	en=6	SHORTFALL
018	raw=21	en=21	OK
019	raw=5	en=8	OK
020	raw=0	en=0	OK
021	raw=36	en=44	OK
022	raw=32	en=33	OK
023	raw=11	en=16	OK
024	raw=9	en=10	OK
025	raw=6	en=5	SHORTFALL
026	raw=8	en=9	OK
027	raw=13	en=20	OK
028	raw=9	en=12	OK
029	raw=16	en=18	OK
030	raw=9	en=8	SHORTFALL
031	raw=6	en=5	SHORTFALL
032	raw=16	en=21	OK
033	raw=3	en=10	OK
034	raw=21	en=26	OK
035	raw=5	en=6	OK
036	raw=9	en=15	OK
037	raw=8	en=10	OK
038	raw=11	en=21	OK
039	raw=12	en=25	OK
040	raw=0	en=7	OK
041	raw=16	en=19	OK
042	raw=9	en=10	OK
043	raw=14	en=16	OK
044	raw=7	en=7	OK
045	raw=15	en=17	OK
046	raw=6	en=11	OK
047	raw=6	en=8	OK
048	raw=16	en=14	SHORTFALL
049	raw=13	en=20	OK
050	raw=15	en=16	OK
051	raw=10	en=14	OK
052	raw=7	en=7	OK
053	raw=14	en=21	OK
054	raw=8	en=7	SHORTFALL
055	raw=10	en=10	OK
056	raw=3	en=5	OK
057	raw=2	en=2	OK
058	raw=15	en=20	OK
059	raw=3	en=6	OK
060	raw=5	en=7	OK
061	raw=3	en=13	OK
062	raw=12	en=20	OK
063	raw=20	en=28	OK
064	raw=12	en=21	OK
065	raw=10	en=14	OK
066	raw=17	en=18	OK
067	raw=31	en=34	OK
068	raw=17	en=20	OK
069	raw=11	en=14	OK
070	raw=8	en=10	OK
071	raw=19	en=20	OK
072	raw=26	en=33	OK
073	raw=32	en=32	OK
074	raw=19	en=23	OK
075	raw=25	en=31	OK
076	raw=22	en=15	SHORTFALL
077	raw=9	en=16	OK
078	raw=4	en=12	OK
079	raw=7	en=16	OK
080	raw=42	en=51	OK
081	raw=26	en=34	OK
082	raw=19	en=29	OK
083	raw=21	en=23	OK
084	raw=12	en=12	OK
085	raw=11	en=12	OK
086	raw=40	en=44	OK
087	raw=43	en=39	SHORTFALL
088	raw=34	en=35	OK
089	raw=17	en=18	OK
090	raw=34	en=38	OK
091	raw=17	en=15	SHORTFALL
094	raw=53	en=45	SHORTFALL
095	raw=16	en=20	OK
096	raw=36	en=33	SHORTFALL
097	raw=24	en=32	OK
098	raw=16	en=21	OK
099	raw=16	en=12	SHORTFALL
100	raw=40	en=47	OK
101	raw=20	en=34	OK
102	raw=13	en=17	OK
103	raw=8	en=16	OK
104	raw=15	en=24	OK
105	raw=29	en=44	OK
106	raw=22	en=34	OK
107	raw=18	en=29	OK
108	raw=9	en=12	OK
109	raw=12	en=19	OK
110	raw=36	en=40	OK
111	raw=48	en=52	OK
112	raw=31	en=42	OK
113	raw=20	en=23	OK
